product_id,product_name,category,brand,retail_price,selling_price,discount_percentage,rating,reviews_count,seller_name,is_flipkart_assured,availability,crawl_timestamp
FK_000001,Product 1,Automotive,Puma,6019.85,3061.09,49.15,4.2,2067,SuperComNet,True,In Stock,2023-01-13
FK_000002,Product 2,Books,OnePlus,26035.16,14048.57,46.04,4.2,332,Appario Retail,False,In Stock,2024-10-10
FK_000003,Product 3,Beauty & Personal Care,Reebok,13745.84,10640.65,22.59,4.5,2991,Cloudtail India,False,In Stock,2023-11-11
FK_000004,Product 4,Automotive,Prestige,41856.27,32995.3,21.17,3.5,910,SuperComNet,False,In Stock,2024-11-15
FK_000005,Product 5,Home & Kitchen,Dell,1227.32,414.47,66.23,4.8,4496,Appario Retail,False,Limited Stock,2023-07-17
FK_000006,Product 6,Mobiles & Accessories,Philips,19265.16,14566.39,24.39,4.0,949,Appario Retail,False,Limited Stock,2023-08-31
FK_000007,Product 7,Beauty & Personal Care,Sony,17198.6,7668.86,55.41,4.5,2075,RetailNet,True,Out of Stock,2024-05-21
FK_000008,Product 8,Beauty & Personal Care,,1456.72,1011.69,30.55,0.0,2514,RetailNet,False,Limited Stock,2023-02-12
FK_000009,Product 9,Automotive,LG,6656.24,5721.04,14.05,4.0,3331,SuperComNet,False,In Stock,2023-11-26
FK_000010,Product 10,Clothing,Dell,20975.31,19779.72,5.7,4.0,3029,RetailNet,False,In Stock,2024-08-13
FK_000011,Product 11,Home & Kitchen,Bajaj,24896.8,14843.47,40.38,4.2,100,Cloudtail India,False,In Stock,2024-03-04
FK_000012,Product 12,Automotive,OnePlus,20512.34,6475.75,68.43,0.0,4646,Appario Retail,False,In Stock,2024-09-04
FK_000013,Product 13,Home & Kitchen,Puma,26781.42,19017.49,28.99,4.5,2400,Appario Retail,False,Limited Stock,2023-06-11
FK_000014,Product 14,Home & Kitchen,Lenovo,29959.02,21504.58,28.22,3.5,3371,Appario Retail,False,Limited Stock,2024-10-17
FK_000015,Product 15,Mobiles & Accessories,Boat,991.23,719.93,27.37,4.5,2343,SuperComNet,False,Limited Stock,2024-09-12
FK_000016,Product 16,Beauty & Personal Care,Puma,23472.71,14355.91,38.84,4.5,352,SuperComNet,True,In Stock,2024-03-10
FK_000017,Product 17,Books,MI,48193.21,31981.01,33.64,4.2,2955,RetailNet,False,In Stock,2023-08-21
FK_000018,Product 18,Mobiles & Accessories,Reebok,26192.1,9903.23,62.19,4.5,1018,Appario Retail,False,In Stock,2023-04-21
FK_000019,Product 19,Mobiles & Accessories,HP,34038.34,21151.42,37.86,4.5,1179,Appario Retail,False,In Stock,2023-08-20
FK_000020,Product 20,Home & Kitchen,Philips,15937.26,9881.1,38.0,4.0,3536,Appario Retail,False,In Stock,2024-12-09
FK_000021,Product 21,Sports & Fitness,HP,38812.57,33382.69,13.99,4.5,3650,Appario Retail,True,In Stock,2023-09-30
FK_000022,Product 22,Beauty & Personal Care,JBL,38759.61,12061.99,68.88,3.5,2502,Appario Retail,False,Limited Stock,2024-08-20
FK_000023,Product 23,Clothing,Puma,26304.15,20714.52,21.25,4.2,3819,Cloudtail India,False,Limited Stock,2023-02-10
FK_000024,Product 24,Mobiles & Accessories,HP,48812.68,44043.68,9.77,4.5,979,Appario Retail,False,In Stock,2024-07-13
FK_000025,Product 25,Books,Lenovo,6714.74,3484.95,48.1,4.0,4834,Cloudtail India,True,In Stock,2024-04-10
FK_000026,Product 26,Sports & Fitness,Prestige,1338.91,753.81,43.7,4.0,976,Appario Retail,True,In Stock,2023-03-18
FK_000027,Product 27,Sports & Fitness,Reebok,38622.83,26271.25,31.98,4.2,1371,SuperComNet,False,In Stock,2024-11-20
FK_000028,Product 28,Clothing,Dell,40454.2,27330.86,32.44,4.5,2280,SuperComNet,False,Out of Stock,2024-05-04
FK_000029,Product 29,Mobiles & Accessories,Bajaj,6450.26,2836.18,56.03,4.8,4576,Cloudtail India,False,In Stock,2023-04-27
FK_000030,Product 30,Books,Bajaj,13646.35,11228.22,17.72,4.2,107,Appario Retail,True,In Stock,2024-03-09
FK_000031,Product 31,Beauty & Personal Care,HP,1368.84,570.53,58.32,4.5,972,SuperComNet,False,In Stock,2023-01-19
FK_000032,Product 32,Electronics,Nike,15018.78,7934.42,47.17,4.8,1626,SuperComNet,True,In Stock,2024-07-24
FK_000033,Product 33,Books,Bajaj,38770.52,26274.78,32.23,0.0,703,Appario Retail,True,Limited Stock,2023-07-15
FK_000034,Product 34,Clothing,MI,26139.05,17050.5,34.77,3.5,874,Appario Retail,False,In Stock,2024-09-10
FK_000035,Product 35,Sports & Fitness,HP,17730.73,13886.71,21.68,4.5,3809,SuperComNet,False,Limited Stock,2024-03-26
FK_000036,Product 36,Beauty & Personal Care,Philips,18901.1,8715.3,53.89,4.5,2411,Appario Retail,True,In Stock,2024-02-29
FK_000037,Product 37,Books,JBL,567.0,349.61,38.34,4.8,2107,RetailNet,False,Out of Stock,2024-01-29
FK_000038,Product 38,Electronics,Nike,15340.13,11373.17,25.86,4.0,3553,Appario Retail,True,In Stock,2023-10-11
FK_000039,Product 39,Electronics,OnePlus,32499.71,18284.34,43.74,0.0,1273,SuperComNet,True,In Stock,2023-02-03
FK_000040,Product 40,Home & Kitchen,Boat,48722.62,14753.21,69.72,4.0,559,SuperComNet,True,In Stock,2023-10-22
FK_000041,Product 41,Home & Kitchen,Apple,42429.51,28304.73,33.29,3.5,116,Cloudtail India,False,In Stock,2023-09-08
FK_000042,Product 42,Automotive,Nike,1667.95,586.45,64.84,3.5,4969,RetailNet,True,Out of Stock,2024-09-29
FK_000043,Product 43,Clothing,Sony,44978.75,32641.08,27.43,4.5,3046,SuperComNet,False,In Stock,2023-12-05
FK_000044,Product 44,Mobiles & Accessories,Realme,39268.32,35906.95,8.56,0.0,43,RetailNet,True,Limited Stock,2024-09-09
FK_000045,Product 45,Books,Dell,39128.62,31975.91,18.28,4.5,508,Appario Retail,True,In Stock,2024-03-15
FK_000046,Product 46,Books,OnePlus,23170.79,15705.16,32.22,4.0,3439,SuperComNet,True,Limited Stock,2023-06-29
FK_000047,Product 47,Mobiles & Accessories,HP,20201.26,16306.46,19.28,4.2,3928,Cloudtail India,False,In Stock,2024-09-13
FK_000048,Product 48,Automotive,Puma,15494.33,14718.06,5.01,0.0,4944,SuperComNet,False,Limited Stock,2023-08-16
FK_000049,Product 49,Sports & Fitness,,3751.9,1332.67,64.48,4.0,916,Cloudtail India,False,Limited Stock,2024-09-24
FK_000050,Product 50,Sports & Fitness,Adidas,11797.65,4736.76,59.85,0.0,2945,RetailNet,False,In Stock,2024-09-10
FK_000051,Product 51,Automotive,Boat,12706.88,5940.47,53.25,5.0,798,Cloudtail India,False,In Stock,2024-10-04
FK_000052,Product 52,Sports & Fitness,Bajaj,24461.81,20569.94,15.91,4.5,4971,Appario Retail,False,In Stock,2023-01-23
FK_000053,Product 53,Home & Kitchen,,37498.5,32691.19,12.82,4.2,1760,Appario Retail,True,In Stock,2024-10-18
FK_000054,Product 54,Books,Reebok,23953.59,21704.35,9.39,3.5,2333,Appario Retail,False,In Stock,2023-11-23
FK_000055,Product 55,Automotive,Boat,3363.3,1612.37,52.06,4.8,3275,SuperComNet,False,In Stock,2023-06-03
FK_000056,Product 56,Books,MI,47910.6,16591.44,65.37,4.0,818,Appario Retail,False,Limited Stock,2024-09-10
FK_000057,Product 57,Mobiles & Accessories,OnePlus,47164.85,31609.88,32.98,0.0,2168,Appario Retail,False,Limited Stock,2023-05-26
FK_000058,Product 58,Electronics,Apple,39366.88,34351.54,12.74,4.2,3735,SuperComNet,False,Out of Stock,2023-09-09
FK_000059,Product 59,Home & Kitchen,Nike,49570.73,30580.18,38.31,4.8,3065,RetailNet,False,In Stock,2023-10-29
FK_000060,Product 60,Beauty & Personal Care,MI,27451.88,19855.94,27.67,0.0,3259,Appario Retail,False,Out of Stock,2023-03-11
FK_000061,Product 61,Home & Kitchen,Apple,48157.03,34018.13,29.36,3.5,906,Appario Retail,False,In Stock,2024-06-26
FK_000062,Product 62,Automotive,Boat,4242.45,2316.8,45.39,4.8,4108,SuperComNet,False,In Stock,2023-04-03
FK_000063,Product 63,Beauty & Personal Care,Boat,18601.2,8980.66,51.72,0.0,602,RetailNet,False,In Stock,2024-10-10
FK_000064,Product 64,Electronics,Bajaj,11656.37,10235.46,12.19,0.0,4295,RetailNet,False,Limited Stock,2023-06-12
FK_000065,Product 65,Automotive,,10193.74,9448.58,7.31,4.2,2633,RetailNet,False,Out of Stock,2023-03-22
FK_000066,Product 66,Clothing,HP,7469.75,2268.56,69.63,4.8,1791,SuperComNet,True,In Stock,2024-08-10
FK_000067,Product 67,Books,JBL,31309.48,25006.88,20.13,4.2,3527,Cloudtail India,False,Out of Stock,2023-03-04
FK_000068,Product 68,Electronics,Philips,39175.43,35845.52,8.5,5.0,4543,Cloudtail India,True,In Stock,2024-09-03
FK_000069,Product 69,Books,OnePlus,29125.77,24075.36,17.34,4.5,1811,Appario Retail,False,Out of Stock,2024-03-11
FK_000070,Product 70,Sports & Fitness,Reebok,7774.65,7189.22,7.53,0.0,3911,Appario Retail,False,In Stock,2023-02-17
FK_000071,Product 71,Clothing,OnePlus,40650.63,28264.38,30.47,5.0,840,Appario Retail,False,In Stock,2024-03-20
FK_000072,Product 72,Clothing,Puma,31979.76,13700.13,57.16,4.0,3142,Cloudtail India,False,In Stock,2023-03-15
FK_000073,Product 73,Electronics,,19714.2,14355.88,27.18,3.5,4685,SuperComNet,False,In Stock,2024-12-04
FK_000074,Product 74,Clothing,HP,33869.45,22397.87,33.87,4.2,2090,Appario Retail,True,In Stock,2024-06-25
FK_000075,Product 75,Beauty & Personal Care,Sony,13365.3,6828.33,48.91,4.0,4615,SuperComNet,False,In Stock,2023-06-06
FK_000076,Product 76,Clothing,Samsung,17587.01,10889.88,38.08,0.0,1036,Appario Retail,False,In Stock,2024-05-01
FK_000077,Product 77,Books,Philips,45915.55,17911.66,60.99,0.0,724,SuperComNet,False,Out of Stock,2023-09-23
FK_000078,Product 78,Books,Nike,14879.97,5760.04,61.29,4.0,987,SuperComNet,False,Limited Stock,2023-09-13
FK_000079,Product 79,Automotive,Boat,23764.42,22424.11,5.64,4.5,802,Cloudtail India,False,In Stock,2023-02-08
FK_000080,Product 80,Books,JBL,44561.99,19798.89,55.57,4.2,2582,SuperComNet,True,Limited Stock,2023-02-24
FK_000081,Product 81,Automotive,Bajaj,35532.21,23113.7,34.95,5.0,3837,RetailNet,False,In Stock,2023-01-28
FK_000082,Product 82,Books,Adidas,3579.06,1099.85,69.27,3.5,526,Cloudtail India,True,Out of Stock,2023-04-28
FK_000083,Product 83,Beauty & Personal Care,Bajaj,7791.5,4954.61,36.41,3.5,1665,Appario Retail,False,In Stock,2024-01-05
FK_000084,Product 84,Mobiles & Accessories,Sony,888.16,274.0,69.15,0.0,1138,Cloudtail India,False,In Stock,2023-07-28
FK_000085,Product 85,Automotive,Reebok,31730.63,14580.22,54.05,0.0,459,RetailNet,True,In Stock,2024-08-09
FK_000086,Product 86,Home & Kitchen,Samsung,22659.83,17865.01,21.16,3.5,2552,RetailNet,False,Out of Stock,2024-07-30
FK_000087,Product 87,Sports & Fitness,JBL,7146.61,4287.97,40.0,4.5,4420,SuperComNet,False,In Stock,2024-09-03
FK_000088,Product 88,Electronics,Puma,47917.74,14619.7,69.49,4.8,4674,RetailNet,False,Out of Stock,2024-07-11
FK_000089,Product 89,Books,Lenovo,26718.16,10489.55,60.74,5.0,2808,RetailNet,True,In Stock,2023-11-12
FK_000090,Product 90,Clothing,Puma,12473.72,11060.45,11.33,3.5,2898,RetailNet,True,In Stock,2024-01-28
FK_000091,Product 91,Mobiles & Accessories,Philips,25279.88,12409.89,50.91,4.8,3243,RetailNet,False,In Stock,2024-03-19
FK_000092,Product 92,Books,Adidas,34141.21,24766.03,27.46,4.0,4068,Appario Retail,True,Out of Stock,2024-10-29
FK_000093,Product 93,Clothing,OnePlus,4273.84,4040.92,5.45,0.0,2331,Appario Retail,False,In Stock,2023-09-16
